id,area
1155,Kyongnam
1156,Metropolitan
1157,Metropolitan
1158,Kyongbuk
1159,Kyongnam
1160,Kyongnam
1161,Metropolitan
1162,Kyongnam
1163,Kyongbuk
1164,Kyongnam
1165,Metropolitan
1166,Kyongnam
1167,Kyongnam
1168,Kyongnam
1169,Kyongnam
1170,Kyongnam
1171,Kyongnam
1172,Kyongnam
1173,Metropolitan
1174,Kyongnam
1175,Kyongnam
1176,Kyongnam
1177,Kyongnam
1178,Kyongnam
1179,Kyongnam
1180,Kyongnam
1181,Kyongnam
1182,Kyongnam
1183,Kyongnam
1184,Kyongnam
1185,Kyongnam
1186,Kyongnam
1187,Kyongnam
1188,Kyongnam
1189,Kyongnam
1190,Kyongnam
1191,Kyongnam
1192,Kyongnam
1193,Kyongnam
1194,Metropolitan
1195,Metropolitan
1196,Metropolitan
1197,Kyongnam
1198,Metropolitan
1199,Kyongbuk
1200,Kyongnam
1201,Metropolitan
1202,Kyongnam
1203,Kyongnam
1204,Kyongnam
1205,Kyongnam
1206,Kyongnam
1207,Kyongbuk
1208,Kyongnam
1209,Kyongnam
1210,Kyongnam
1211,Metropolitan
1212,Kyongnam
1213,Kyongnam
1214,Kyongnam
1215,Jeonam
1216,Kyongnam
1217,Kyongnam
1218,Kyongnam
1219,Kyongnam
1220,Kyongnam
1221,Kyongnam
1222,Metropolitan
1223,Kyongnam
1224,Kyongnam
1225,Kyongnam
1226,Kyongnam
1227,Kyongnam
1228,Metropolitan
1229,Kyongnam
1230,Metropolitan
1231,Metropolitan
1232,Kyongnam
1233,Kyongnam
1234,Kyongnam
1235,Kyongnam
1236,Kyongnam
1237,Kyongnam
1238,Metropolitan
1239,Kyongbuk
1240,Metropolitan
1241,Kyongnam
1242,Kyongnam
1243,Kyongnam
1244,Kyongnam
1245,Kyongnam
1246,Kyongnam
1247,Kyongnam
1248,Kyongnam
1249,Kyongnam
1250,Kyongnam
1251,Kyongnam
1252,Kyongnam
1253,Kyongnam
1254,Kyongnam
1255,Kyongnam
1256,Metropolitan
1257,Kyongnam
1258,Kyongnam
1259,Kyongnam
1260,Kyongnam
1261,Kyongnam
1262,Kyongnam
1263,Kyongnam
1264,Kyongnam
1265,Kyongnam
1266,Kyongnam
1267,Kyongnam
1268,Kyongnam
1269,Metropolitan
1270,Kyongnam
1271,Kyongnam
1272,Kyongnam
1273,Kyongnam
1274,Kyongnam
1275,Kyongnam
1276,Kyongnam
1277,Kyongnam
1278,Kyongnam
1279,Metropolitan
1280,Metropolitan
1281,Kyongnam
1282,Kyongnam
1283,Kyongnam
1284,Kyongnam
1285,Kyongnam
1286,Kyongnam
1287,Kyongnam
1288,Kyongnam
1289,Kyongnam
1290,Kyongnam
1291,Kyongnam
1292,Kyongnam
1293,Kyongnam
1294,Kyongnam
1295,Kyongnam
1296,Kyongbuk
1297,Kyongbuk
1298,Kyongnam
1299,Kyongnam
1300,Kyongbuk
1301,Kyongnam
1302,Kyongnam
1303,Kyongbuk
1304,Jeonbuk
1305,Kyongnam
1306,Kyongnam
1307,Kyongnam
1308,Kyongnam
1309,Kyongnam
1310,Kyongnam
1311,Kyongnam
1312,Metropolitan
1313,Kyongnam
1314,Kyongbuk
1315,Kyongnam
1316,Kyongnam
1317,Kyongnam
1318,Metropolitan
1319,Kyongnam
1320,Kyongbuk
1321,Metropolitan
1322,Metropolitan
1323,Kyongnam
1324,Metropolitan
1325,Kyongnam
1326,Jeonam
1327,Kyongnam
1328,Jeonam
1329,Kyongbuk
1330,Metropolitan
1331,Metropolitan
1332,Kyongnam
1333,Metropolitan
1334,Kyongnam
1335,Kyongnam
1336,Kyongnam
1337,Kyongnam
1338,Kyongnam
1339,Metropolitan
1340,Kyongnam
1341,Kyongnam
1342,Metropolitan
1343,Kyongbuk
1344,Kyongnam
1345,Kyongnam
1346,Metropolitan
1347,Metropolitan
1348,Kyongnam
1349,Metropolitan
1350,Jeonam
1351,Kyongnam
1352,Metropolitan
1353,Jeonam
1354,Kyongnam
1355,Kyongbuk
1356,Kyongnam
1357,Kyongnam
1358,Kyongnam
1359,Metropolitan
1360,Kyongnam
1361,Kyongnam
1362,Kyongnam
1363,Metropolitan
1364,Metropolitan
1365,Kyongnam
1366,Kyongnam
1367,Metropolitan
1368,Kyongnam
1369,Kyongnam
1370,Kyongnam
1371,Kyongnam
1372,Kyongnam
1373,Kyongnam
1374,Kyongnam
1375,Metropolitan
1376,Metropolitan
1377,Kyongnam
1378,Kyongnam
1379,Kyongnam
1380,Kyongnam
1381,Kyongnam
1382,Metropolitan
1383,Kyongnam
1384,Metropolitan
1385,Kyongnam
1386,Metropolitan
1387,Metropolitan
1388,Kyongnam
1389,Metropolitan
1390,Metropolitan
1391,Metropolitan
1392,Kyongnam
1393,Kyongnam
1394,Kyongnam
1395,Kyongnam
1396,Kyongnam
1397,Kyongnam
1398,Kyongnam
1399,Metropolitan
