id,department,main_dep
1040,Production_Management,1
1041,Business_management,1
1042,Business_Support,0
1043,Technology,1
1044,Technology,1
1045,Production_support,0
1046,Production_support,0
1047,Production_support,0
1048,Production_support,0
1049,Production_Management,1
1050,Quality_Management,1
1051,Quality_Management,1
1052,Sales,1
1053,Production_support,0
1054,Production_support,0
1055,Production_support,0
1056,Purchasing,0
1057,Production_support,0
1058,Production_support,0
1059,Production_Management,1
1060,Quality_Management,1
1061,Technology,1
1062,Business_management,1
1063,Purchasing,0
1064,Production_Management,1
1065,Design,1
1066,Design,1
1067,Financial_management,0
1068,Purchasing,0
1069,Production_Management,1
1070,Production_Management,1
1071,Design,1
1072,Production_support,0
1073,Production_support,0
1074,Production_Management,1
1075,Purchasing,0
1076,Business_management,1
1077,Design,1
1078,Production_support,0
1079,Business_management,1
1080,Production_Management,1
1081,Production_support,0
1082,Business_management,1
1083,Financial_management,0
1084,Production_Management,1
1085,Production_support,0
1086,Design,1
1087,Quality_Management,1
1088,Quality_Management,1
1089,Design,1
1090,Technology,1
1091,Technology,1
1092,Quality_Management,1
1093,Production_support,0
1094,Production_support,0
1095,Production_support,0
1096,Quality_Management,1
1097,Technology,1
1098,Technology,1
1099,Technology,1
1100,Quality_Management,1
1101,Quality_Management,1
1102,Quality_Management,1
1103,Quality_Management,1
1104,Business_Support,0
1105,Design,1
1106,Production_Management,1
1107,Production_Management,1
1108,Production_support,0
1109,Technology,1
1110,Quality_Management,1
1111,Production_support,0
1112,Purchasing,0
1113,Production_support,0
1114,Design,1
1115,Quality_Management,1
1116,Service,0
1118,Business_Support,0
1119,Production_support,0
1120,Production_support,0
1121,Production_support,0
1122,Production_support,0
1123,Production_support,0
1124,Production_support,0
1125,Business_Support,0
1126,Quality_Management,1
1127,Quality_Management,1
1128,Production_Management,1
1129,Production_support,0
1130,Production_support,0
1131,Production_support,0
1132,Production_support,0
1133,Production_support,0
1134,Executives,0
1135,Production_Management,1
1136,Production_Management,1
1137,Technology,1
1138,Quality_Management,1
1139,Quality_Management,1
1140,Business_Support,0
1141,Business_Support,0
1142,Executives,0
1143,Production_support,0
1144,Production_support,0
1145,Production_support,0
1146,Executives,0
1147,Production_support,0
1148,Production_support,0
1149,Production_support,0
1150,Production_support,0
1151,Financial_management,0
1152,Executives,0
1153,Production_Management,1
1154,Business_Support,0
1155,Production_support,0
1156,Design,1
1157,Design,1
1158,Production_Management,1
1159,Design,1
1160,Production_support,0
1161,Design,1
1162,Production_Management,1
1163,Production_Management,1
1164,Business_management,1
1165,Design,1
1166,Production_support,0
1167,Production_support,0
1168,Design,1
1169,Sales,1
1170,Production_Management,1
1171,Production_Management,1
1172,Quality_Management,1
1173,Sales,1
1174,Business_Support,0
1175,Executives,0
1176,Production_support,0
1177,Production_support,0
1178,Production_support,0
1179,Production_support,0
1180,Production_support,0
1181,Production_Management,1
1182,Production_support,0
1183,Production_support,0
1184,Business_Support,0
1185,Production_support,0
1186,Production_support,0
1187,Production_support,0
1188,Production_support,0
1189,Quality_Management,1
1190,Production_Management,1
1191,Production_support,0
1192,Production_support,0
1193,Production_support,0
1194,Business_management,1
1195,Design,1
1196,Business_Support,0
1197,Production_support,0
1198,Production_support,0
1199,Production_support,0
1200,Quality_Management,1
1201,Business_management,1
1202,Production_support,0
1203,Production_support,0
1204,Production_support,0
1205,Production_support,0
1206,Production_support,0
1207,Business_Support,0
1208,Production_support,0
1209,Quality_Management,1
1210,Quality_Management,1
1211,Design,1
1212,Quality_Management,1
1213,Production_support,0
1214,Production_support,0
1215,Production_support,0
1216,Quality_Management,1
1217,Business_management,1
1218,Quality_Management,1
1219,Quality_Management,1
1220,Sales,1
1221,Production_Management,1
1222,Design,1
1223,Business_management,1
1224,Quality_Management,1
1225,Quality_Management,1
1226,Quality_Management,1
1227,Quality_Management,1
1228,Purchasing,0
1229,Production_Management,1
1230,Business_management,1
1231,Business_management,1
1232,Production_support,0
1233,Business_management,1
1234,Production_support,0
1235,Production_support,0
1237,Executives,0
1238,Executives,0
1239,Business_management,1
1240,Business_management,1
1241,Production_support,0
1242,Production_support,0
1243,Production_Management,1
1244,Production_support,0
1245,Production_support,0
1246,Production_support,0
1247,Executives,0
1248,Executives,0
1249,Executives,0
1250,Production_support,0
1251,Executives,0
1252,Executives,0
1253,Production_support,0
1254,Production_Management,1
1255,Production_Management,1
1256,Business_Support,0
1257,Sales,1
1258,Technology,1
1259,Production_support,0
1260,Production_support,0
1261,Production_support,0
1262,Production_support,0
1263,Production_support,0
1264,Production_support,0
1265,Production_support,0
1266,Production_support,0
1267,Production_support,0
1268,Production_support,0
1269,Design,1
1270,Production_support,0
1271,Production_support,0
1272,Business_Support,0
1273,Business_Support,0
1274,Design,1
1275,Design,1
1276,Production_support,0
1277,Production_Management,1
1278,Production_Management,1
1279,Business_management,1
1280,Design,1
1281,Production_support,0
1282,Sales,1
1283,Business_management,1
1284,Business_management,1
1285,Quality_Management,1
1286,Production_support,0
1287,Production_support,0
1288,Production_support,0
1289,Production_support,0
1290,Production_support,0
1291,Production_Management,1
1292,Production_Management,1
1293,Production_Management,1
1294,Production_Management,1
1295,Production_Management,1
1296,Production_Management,1
1297,Production_Management,1
1298,Production_Management,1
1299,Production_Management,1
1300,Production_Management,1
1301,Production_Management,1
1302,Production_Management,1
1303,Production_Management,1
1304,Production_support,0
1305,Production_support,0
1306,Quality_Management,1
1307,Quality_Management,1
1308,Executives,0
1309,Service,0
1311,Business_management,1
1312,Design,1
1313,Business_Support,0
1314,Business_Support,0
1315,Production_Management,1
1316,Production_Management,1
1317,Production_Management,1
1318,Executives,0
1319,Production_Management,1
1320,Production_Management,1
1321,Executives,0
1322,Business_Support,0
1323,Quality_Management,1
1324,Business_Support,0
1325,Business_Support,0
1326,Executives,0
1327,Production_Management,1
1328,Design,1
1329,Design,1
1330,Design,1
1331,Design,1
1332,Sales,1
1333,Sales,1
1334,Business_Support,0
1335,Design,1
1336,Technology,1
1337,Production_Management,1
1339,Executives,0
1340,Sales,1
1341,Business_Support,0
1342,Business_management,1
1343,Design,1
1344,Production_Management,1
1345,Production_Management,1
1346,Business_Support,0
1347,Business_Support,0
1348,Financial_management,0
1349,Business_Support,0
1350,Sales,1
1351,Technology,1
1352,Executives,0
1353,Design,1
1354,Business_Support,0
1355,Financial_management,0
1356,Business_Support,0
1357,Purchasing,0
1358,Design,1
1359,Executives,0
1360,Quality_Management,1
1361,Business_Support,0
1362,Design,1
1363,Financial_management,0
1364,Executives,0
1365,Production_Management,1
1366,Sales,1
1367,Business_Support,0
1368,Quality_Management,1
1369,Quality_Management,1
1370,Quality_Management,1
1371,Quality_Management,1
1372,Quality_Management,1
1373,Quality_Management,1
1374,Quality_Management,1
1375,Executives,0
1376,Executives,0
1377,Business_Support,0
1378,Business_management,1
1379,Design,1
1380,Business_Support,0
1381,Business_management,1
1382,Executives,0
1383,Sales,1
1384,Sales,1
1385,Sales,1
1386,Sales,1
1387,Sales,1
1388,Sales,1
1389,Sales,1
1390,Sales,1
1391,Sales,1
1392,Business_Support,0
1393,Business_management,1
1394,Business_Support,0
1395,Design,1
1396,Business_Support,0
1397,Business_management,1
1398,Business_Support,0
1399,Financial_management,0
1400,Business_Support,0
1401,Business_Support,0
1402,Business_Support,0
1403,Business_Support,0
