직원id,입사일,퇴사일,근속연수(연),근속연수(월),근속연수(일)
425,2011-06-01,2012-02-15,0,8,259
426,2011-06-07,2014-10-31,3,40,1242
427,2011-06-02,2011-07-20,0,1,48
428,2011-06-02,2011-08-01,0,1,60
429,2011-06-02,2011-07-20,0,1,48
430,2011-06-02,2012-02-15,0,8,258
431,2011-06-02,2012-02-15,0,8,258
432,2011-06-14,2018-05-31,6,83,2543
433,2011-06-16,2011-11-07,0,4,144
434,2011-06-27,2011-07-31,0,1,34
435,2011-06-21,2012-02-16,0,7,240
436,2011-06-21,2012-02-15,0,7,239
437,2011-07-04,//,8,96,2949
438,2011-07-04,2019-07-30,8,96,2948
439,2011-07-06,2012-02-15,0,7,224
440,2011-07-11,2011-09-30,0,2,81
441,2011-07-11,//,8,96,2942
442,2011-07-11,2012-11-16,1,16,494
443,2011-07-11,2012-09-28,1,14,445
444,2011-07-11,2011-07-13,0,0,2
445,2011-07-13,2011-11-01,0,3,111
446,2011-07-13,2011-08-08,0,0,26
447,2011-07-13,2011-07-19,0,0,6
448,2011-07-13,//,8,96,2940
449,2011-07-13,2016-04-30,4,57,1753
450,2011-07-13,2012-02-29,0,7,231
451,2011-07-13,2011-12-19,0,5,159
452,2011-07-13,2016-04-30,4,57,1753
453,2011-07-13,//,8,96,2940
454,2011-07-13,2016-07-31,5,60,1845
455,2011-07-18,2011-12-01,0,4,136
456,2011-07-18,2013-03-31,1,20,622
457,2011-07-25,//,8,96,2928
458,2011-07-25,2015-12-21,4,52,1610
459,2011-07-25,2012-01-04,0,5,163
460,2011-07-25,2011-08-08,0,0,14
461,2011-07-26,2013-03-17,1,19,600
462,2011-08-03,2012-02-15,0,6,196
463,2011-08-16,2012-02-15,0,5,183
464,2011-08-08,2011-08-12,0,0,4
465,2011-08-08,2013-05-05,1,20,636
466,2011-08-09,//,8,95,2913
467,2011-08-10,//,8,95,2912
468,2011-08-19,2011-10-25,0,2,67
469,2011-08-22,2012-06-30,0,10,313
470,2011-08-22,2011-11-04,0,2,74
471,2011-08-22,2014-01-12,2,28,874
472,2011-09-01,2012-10-05,1,13,400
473,2011-09-05,2014-03-20,2,30,927
474,2011-09-05,2016-07-31,4,58,1791
475,2011-09-19,2014-07-31,2,34,1046
476,2011-09-19,2013-11-30,2,26,803
477,2011-09-21,2018-01-12,6,75,2305
478,2011-09-21,2015-08-31,3,47,1440
479,2011-09-21,2012-03-31,0,6,192
480,2011-09-23,2016-07-31,4,58,1773
481,2011-09-26,2015-12-31,4,51,1557
