id,duration
849,6819803
850,3326129
851,5696267
852,1219430
853,6819493
854,2950983
855,591912
856,508698
857,5591569.021
858,1251466
859,1308190
860,12283483
861,1028358
862,3011627
863,3859144
864,3298563
865,4843723
866,2430515
867,1185895
868,769419
869,5574944
870,1251466
871,4843723
872,1251466
873,15967348
874,5574836
875,5691030
876,3769945
877,1252106
878,14552462
879,6331810
880,10199565
881,769419
882,5574836
883,1141326
884,1252106
885,5068329
886,1308190
887,1252106
888,1308190
889,1252106
890,5784173
891,6821992
892,1252106
893,6821992
894,11818957
895,3393947
896,884133
897,2804705
898,695775
899,2473289
900,3393776
901,15961061
902,5591569.021
903,3664411
904,4018808
905,1308190
906,779596
907,1187919
908,1187919
909,1252847
910,3860874
911,3770555
912,4998743
913,5199694
914,1252847
915,15789346
916,5591569.021
917,3244213
918,3682800
919,1141569
920,769419
921,15702853
922,3860874
923,1252847
924,15452461
925,1252847
926,1142120
927,2489517
928,3985676
929,7442425
930,15885244
931,5602588
932,1856084
933,2483584
934,1499211
935,13250785
936,11843087
937,6825005
938,3002810
939,3269397
940,1144144
941,11843561
942,1144144
943,15473662
944,769419
945,3863262
946,5076590
947,513698
948,1502397
949,2914264
950,1255098
951,1306124
952,4838875
953,2848560
954,1255098
955,1901527
956,1255098
