id,position,position_number
506,대리,4
507,과장,3
508,과장,3
509,대리,4
510,과장,3
511,차장,2
512,사원,6
513,사원,6
514,대리,4
515,대리,4
516,대리,4
517,사원,6
518,사원,6
519,대리,4
520,대리,4
521,대리,4
522,사원,6
523,사원,6
524,사원,6
525,사원,6
526,대리,4
527,대리,4
528,차장,2
529,과장,3
530,과장,3
531,대리,4
532,대리,4
533,사원,6
534,대리,4
535,사원(시급),6
536,부장,1
537,상무,
538,대리,4
539,사원(시급),6
540,사원(시급),6
541,상무,
542,과장,3
543,직장,2
544,과장,3
545,사원,6
546,대리,4
547,사원,6
548,과장,3
549,이사,
550,부장,1
551,과장,3
552,부장,1
553,대리,4
554,대리,4
555,대리,4
556,차장,2
557,대리,4
558,차장,2
559,대리,4
560,부장,1
561,대리,4
562,과장,3
563,과장,3
564,대리,4
565,사원,6
566,대리,4
567,과장,3
568,과장,3
569,대리,4
570,대리,4
571,대리,4
572,과장,3
573,대리,4
574,과장,3
575,사원,6
576,과장,3
577,과장,3
578,대리,4
579,과장,3
580,대리,4
581,부장,1
582,차장,2
583,부장,1
584,과장,3
585,과장,3
586,과장,3
587,사원,6
588,사원,6
589,사원,6
590,부사장,
591,부장,1
592,부장,1
593,부장,1
594,부장,1
595,과장,3
596,과장,3
597,대리,4
598,과장,3
599,과장,3
600,사원,6
601,대리,4
602,사원,6
603,과장,3
604,대리,4
605,대리,4
606,직장,2
607,직장,2
608,반장,3
609,반장,3
610,사원(시급),6
611,조장,4
612,반장,3
613,사원(시급),6
614,조장,4
615,부장,1
616,대리,4
617,대리,4
618,과장,3
619,조장,4
620,조장,4
621,사원(시급),6
622,이사,
623,부장,1
624,과장,3
625,대리,4
626,대리,4
627,상무,
628,이사,
629,과장,3
630,부장,1
631,사원,6
632,부장,1
633,사원(시급),6
634,사원(시급),6
635,사원(시급),6
636,사원(시급),6
637,사원(시급),6
638,사원(시급),6
639,조장,4
640,사원(시급),6
641,과장,3
642,수습사원,
643,사원(시급),6
644,사원(시급),6
645,사원(시급),6
646,사원(시급),6
647,사원,6
648,사원(시급),6
649,과장,3
650,사원,6
651,과장,3
652,과장,3
653,과장,3
654,사원,6
655,수습사원,
656,과장,3
657,사원,6
658,사원,6
659,사원(시급),6
660,대리,4
661,부장,1
662,대리,4
663,사원(계약직),
664,사원(계약직),
665,사원(시급),6
666,사원(계약직),
667,사원,6
668,과장,3
669,과장,3
670,사원(계약직),
671,사원(계약직),
672,사원(계약직),
673,사원(계약직),
674,사원(계약직),
675,사원(계약직),
676,사원(계약직),
677,대리,4
678,대리,4
679,차장,2
680,대리,4
681,대리,4
682,사원,6
683,사원,6
684,사원,6
685,사원,6
686,사원,6
687,사원,6
688,사원,6
689,사원,6
690,과장,3
691,과장,3
692,사원(계약직),
693,사원(계약직),
694,사원(계약직),
695,사원(계약직),
696,사원(계약직),
697,이사,
698,사원,6
699,사원(시급),6
700,사원,6
701,사원,6
702,사원,6
703,사원(계약직),
704,사원(계약직),
705,사원(계약직),
706,사원(계약직),
707,사원(계약직),
708,사원(계약직),
709,사원(계약직),
710,사원(계약직),
711,과장,3
712,사원,6
713,사원(계약직),
714,차장,2
715,사원,6
716,대리,4
717,과장,3
718,과장,3
719,사원,6
720,사원(계약직),
721,사원(시급),6
722,사원(시급),6
723,사원(시급),6
724,차장,2
725,사원,6
726,이사,
727,대리,4
728,사원(계약직),
729,사원(시급),6
730,사원(계약직),
731,사원(계약직),
732,차장,2
733,과장,3
734,사원,6
735,대리,4
736,사원,6
737,대리,4
738,사원,6
739,대리,4
740,사원,6
741,차장,2
742,과장,3
743,사원,6
744,사원,6
745,대리,4
746,사원(시급),6
747,과장,3
748,과장,3
749,상무,
750,대리,4
751,차장,2
752,직장,2
753,과장,3
754,사원,6
755,대리,4
756,이사,
757,대리,4
758,대리,4
759,사원,6
760,과장,3
761,대리,4
762,대리,4
763,사원,6
764,사원,6
765,사원,6
766,사원,6
767,사원,6
768,대리,4
769,대리,4
770,사원,6
771,사원,6
772,사원,6
773,사원,6
774,사원,6
775,사원,6
776,사원,6
777,사원,6
778,사원,6
779,대리,4
780,대리,4
781,부장,1
782,차장,2
783,전문위원,
784,사원,6
785,대리,4
786,과장,3
787,과장,3
788,대리,4
789,부장,1
790,사원,6
791,대리,4
792,이사,
793,사원,6
794,사원,6
795,과장,3
796,과장,3
797,이사,
798,사원,6
799,대리,4
800,대리,4
801,사원,6
802,대리,4
803,과장,3
804,사원,6
805,차장,2
806,과장,3
807,대리,4
808,대리,4
809,차장,2
810,과장,3
811,대리,4
812,대리,4
813,대리,4
814,수습사원,
815,사원,6
816,사원,6
817,사원,6
818,사원,6
819,수습사원,
820,수습사원,
821,사원,6
822,사원,6
823,사원,6
824,사원,6
825,사원(계약직),
826,사원(계약직),
827,사원(계약직),
828,사원(계약직),
829,사원(계약직),
830,사원(계약직),
831,사원(계약직),
832,대리,4
833,과장,3
834,대리,4
835,사원,6
836,사원,6
837,사원,6
838,대리,4
839,사원,6
840,수습사원,
841,사원,6
842,사원,6
843,사원(계약직),
844,사원,6
845,대리,4
846,대리,4
847,수습사원,
848,사원,6
849,사원,6
850,사원,6
851,대리,4
852,사원,6
853,대리,4
854,사원(계약직),
855,사원(계약직),
856,사원(계약직),
857,사원(계약직),
858,사원,6
859,반장,3
860,조장,4
861,조장,4
862,대리,4
863,이사,
864,사원(시급),6
865,사원(시급),6
866,사원(시급),6
867,사원(시급),6
868,사원,6
869,사원,6
870,사원,6
871,차장,2
872,이사,
873,과장,3
874,사원,6
875,반장,3
876,사원,6
877,사원,6
878,기술위원,
879,수습사원,
880,사원,6
881,사원,6
882,대리,4
883,조장,4
884,과장,3
885,대리,4
886,사원,6
887,부장,1
888,반장,3
889,대리,4
890,반장,3
891,대리,4
