,id,retirement,courier_count,lang_count,age,area,child_count,club_count,club,gender,honey_YN,religion_YN,religion,begin_date,retired_date,working_year,working_month,working_day,position_number,department,main_dep,school_grade,certificate,duration,univ_duration,re_class,re_class2,re_class3
138,139,1,0.0,2.0,34,Metropolitan,0.0,0.0,0.0,1,0.0,No,No,2007-11-21,2015-11-30,8,96,2931,4.0,Sales,1.0,0,0.0,4.22395,12182530.0,1,3,2
139,140,1,0.0,0.0,47,Kyongnam,2.0,0.0,0.0,1,1.0,No,No,2007-12-03,2012-05-31,4,53,1641,1.0,Design,1.0,0,0.0,1.2504583333333332,4616731.0,0,2,2
140,141,1,3.0,0.0,38,Kyongbuk,0.0,2.0,1.0,1,0.0,No,No,2008-01-02,2013-02-28,5,61,1884,3.0,Production_Management,1.0,0,1.0,1.3632319444444445,4327718.0,0,3,2
142,143,1,0.0,0.0,32,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2008-01-21,2011-03-31,3,38,1165,4.0,Production_Management,1.0,0,0.0,0.35581722222222223,1193864.0,0,1,1
144,145,0,1.0,1.0,41,Kyongnam,1.0,1.0,1.0,1,1.0,No,No,2008-01-28,//,11,138,4202,3.0,Purchasing,0.0,0,0.0,0.3512941666666667,3729627.0,1,3,2
145,146,0,2.0,1.0,40,Kyongnam,2.0,0.0,0.0,1,1.0,No,No,2008-01-28,//,11,138,4202,3.0,Design,1.0,0,0.0,0.2580591666666667,6482095.0,1,3,2
146,147,1,0.0,0.0,28,Kyongnam,0.0,0.0,0.0,0,0.0,No,No,2008-01-28,2011-12-20,3,46,1422,6.0,Business_management,1.0,0,0.0,0.28912472222222224,1055054.0,0,1,1
147,148,1,1.0,0.0,36,Kyongnam,1.0,0.0,0.0,1,1.0,Yes,Buddism,2008-01-28,2013-02-23,5,60,1853,4.0,Business_Support,0.0,1,0.0,1.0517025,3014085.0,0,3,2
148,149,0,0.0,1.0,37,Kyongnam,1.0,1.0,1.0,1,1.0,No,No,2008-01-28,//,11,138,4202,3.0,Production_Management,1.0,0,0.0,0.21135138888888888,6826933.0,1,3,2
149,150,1,3.0,1.0,35,Kyongnam,0.0,1.0,1.0,1,0.0,No,No,2008-01-28,2017-05-07,9,111,3387,4.0,Production_Management,1.0,0,0.0,0.28959527777777777,8097523.0,1,3,2
150,151,0,0.0,1.0,36,Kyongnam,0.0,1.0,1.0,0,0.0,No,No,2008-01-28,//,11,138,4202,3.0,Business_management,1.0,0,0.0,0.7418747222222222,2862745.0,1,3,2
151,152,1,0.0,0.0,32,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2008-01-28,2011-06-24,3,40,1243,6.0,Warranty,0.0,0,0.0,0.28936,1055901.0,0,1,1
